DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DENSITY
13-Apr-17,18-Apr-17,5-7pm,t1,3,31,2,3,8,10,50,Anacropora,Anacropora_spinosa,present,A1,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,14,36,0.28,0.204
13-Apr-17,18-Apr-17,5-7pm,t1,3,32,2,4,8,11,100,Anacropora,Anacropora_spinosa,present,A1,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,45,55,0.45,0.655
13-Apr-17,19-Apr-17,6-7pm,t1,5,49,1,1,9,13,200,Acropora,Acropora_gemmifera,present,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,3,197,0.015,0.044
13-Apr-17,19-Apr-17,6-7pm,t1,5,50,1,2,9,14,100,Acropora,Acropora_gemmifera,present,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,99,0.01,0.015
13-Apr-17,19-Apr-17,6-7pm,t1,5,51,1,3,9,15,10,Acropora,Acropora_gemmifera,present,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,6,4,0.6,0.087
13-Apr-17,19-Apr-17,6-7pm,t1,5,52,1,4,9,16,50,Acropora,Acropora_gemmifera,present,A1,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,49,0.02,0.015
13-Apr-17,19-Apr-17,6-7pm,t1,5,53,2,1,10,13,50,Acropora,Acropora_gemmifera,present,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,49,0.02,0.015
13-Apr-17,19-Apr-17,6-7pm,t1,5,54,2,2,10,14,10,Acropora,Acropora_gemmifera,present,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,3,7,0.3,0.044
13-Apr-17,19-Apr-17,6-7pm,t1,5,55,2,3,10,15,200,Acropora,Acropora_gemmifera,present,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,4,196,0.02,0.058
13-Apr-17,19-Apr-17,6-7pm,t1,5,56,2,4,10,16,100,Acropora,Acropora_gemmifera,present,A1,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,100,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t1,5,57,3,1,11,13,200,Acropora,Acropora_gemmifera,present,A1,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,199,0.005,0.015
13-Apr-17,19-Apr-17,6-7pm,t1,5,58,3,2,11,14,100,Acropora,Acropora_gemmifera,present,A1,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,100,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t1,5,59,3,3,11,15,50,Acropora,Acropora_gemmifera,present,A1,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,50,0,0.000
13-Apr-17,19-Apr-17,6-7pm,t1,5,60,3,4,11,16,10,Acropora,Acropora_gemmifera,present,A1,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,0,10,0,0.000
12-Apr-17,18-Apr-17,4-5pm,t1,6,61,1,1,12,17,50,Acropora,Acropora_digitifera,absent,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,46,4,0.92,0.670
12-Apr-17,18-Apr-17,4-5pm,t1,6,62,1,2,12,18,100,Acropora,Acropora_digitifera,absent,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,63,37,0.63,0.918
12-Apr-17,18-Apr-17,4-5pm,t1,6,63,1,3,12,19,10,Acropora,Acropora_digitifera,absent,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,6,4,0.6,0.087
12-Apr-17,18-Apr-17,4-5pm,t1,6,64,1,4,12,20,200,Acropora,Acropora_digitifera,absent,A1,T1,22-Apr-17,22-Apr-17,John,Disecting,no,45,155,0.225,0.655
12-Apr-17,18-Apr-17,4-5pm,t1,6,65,2,1,13,17,10,Acropora,Acropora_digitifera,absent,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,0,10,0,0.000
12-Apr-17,18-Apr-17,4-5pm,t1,6,66,2,2,13,18,200,Acropora,Acropora_digitifera,absent,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,10,190,0.05,0.146
12-Apr-17,18-Apr-17,4-5pm,t1,6,67,2,3,13,19,50,Acropora,Acropora_digitifera,absent,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,39,11,0.78,0.568
12-Apr-17,18-Apr-17,4-5pm,t1,6,68,2,4,13,20,100,Acropora,Acropora_digitifera,absent,A1,T2,22-Apr-17,22-Apr-17,John,Disecting,no,30,70,0.3,0.437
12-Apr-17,18-Apr-17,4-5pm,t1,6,69,3,1,14,17,100,Acropora,Acropora_digitifera,absent,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,29,71,0.29,0.422
12-Apr-17,18-Apr-17,4-5pm,t1,6,70,3,2,14,18,10,Acropora,Acropora_digitifera,absent,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,8,2,0.8,0.117
12-Apr-17,18-Apr-17,4-5pm,t1,6,71,3,3,14,19,200,Acropora,Acropora_digitifera,absent,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,79,121,0.395,1.151
12-Apr-17,18-Apr-17,4-5pm,t1,6,72,3,4,14,20,50,Acropora,Acropora_digitifera,absent,A1,T3,22-Apr-17,22-Apr-17,John,Disecting,no,41,9,0.82,0.597
13-Apr-17,18-Apr-17,5-7pm,t2,8,85,1,1,15,21,200,Anacropora,Anacropora_spinosa,present,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,104,96,0.52,1.515
13-Apr-17,18-Apr-17,5-7pm,t2,8,86,1,2,15,22,100,Anacropora,Anacropora_spinosa,present,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,61,39,0.61,0.888
13-Apr-17,18-Apr-17,5-7pm,t2,8,87,1,3,15,23,10,Anacropora,Anacropora_spinosa,present,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,1,9,0.1,0.015
13-Apr-17,18-Apr-17,5-7pm,t2,8,88,1,4,15,24,50,Anacropora,Anacropora_spinosa,present,A2,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,15,35,0.3,0.218
