DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,16,1,4,4,8,50,Acropora,Acropora_gemmifera,ABSENT,A1,T1,23-Apr-17,24-Apr-17,John,Dinoscope,no,7,43,0.14,0.102,30-Apr-17,Simo,Dinoscope,no,7,0,1,0.14,0.102,Carrie,Disecting,no,7,0,0,1,0.1,1,0.14
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,17,2,1,5,5,50,Acropora,Acropora_gemmifera,ABSENT,A1,T2,23-Apr-17,24-Apr-17,John,Dinoscope,no,4,46,0.08,0.058,30-Apr-17,Simo,Dinoscope,no,3,1,0.75,0.06,0.044,Carrie,Disecting,no,3,0,1,1,0.04,0.75,0.06
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,19,2,3,5,7,200,Acropora,Acropora_gemmifera,ABSENT,A1,T2,23-Apr-17,25-Apr-17,John,Dinoscope,no,58,142,0.29,0.845,30-Apr-17,Simo,Dinoscope,no,51,7,0.88,0.255,0.743,Carrie,Disecting,no,0,51,58,0,0,0,0
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,20,2,4,5,8,100,Acropora,Acropora_gemmifera,ABSENT,A1,T2,23-Apr-17,25-Apr-17,John,Dinoscope,no,5,95,0.05,0.073,30-Apr-17,Simo,Dinoscope,no,4,1,0.8,0.04,0.058,Carrie,Disecting,no,3,1,2,0.75,0.04,0.6,0.03
13-Apr-17,19-Apr-17,12-1pm,TANK1,2,21,3,1,6,5,200,Acropora,Acropora_gemmifera,ABSENT,A1,T3,23-Apr-17,25-Apr-17,John,Dinoscope,no,3,197,0.015,0.044,30-Apr-17,Carrie,Disecting,no,0,3,0,0,0,Carrie,Disecting,no,0,0,3,0,0,0,0
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,25,1,1,7,9,50,Anacropora,Anacropora_spinosa,PRESENT,A1,T1,23-Apr-17,25-Apr-17,Carrie,Disecting,no,28,22,0.56,0.408,30-Apr-17,Carrie,Disecting,no,26,2,0.93,0.52,0.379,Carrie,Disecting,yes,15,11,13,0.58,0.22,0.54,0.3
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,26,1,2,7,10,100,Anacropora,Anacropora_spinosa,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,55,45,0.55,0.801,30-Apr-17,Carrie,Disecting,no,54,1,0.98,0.54,0.786,Carrie,Disecting,yes,54,0,1,1,0.79,0.98,0.54
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,27,1,3,7,11,10,Anacropora,Anacropora_spinosa,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,7,3,0.7,0.102,30-Apr-17,Carrie,Disecting,no,6,1,0.86,0.6,0.087,Carrie,Disecting,yes,6,0,1,1,0.09,0.86,0.6
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,28,1,4,7,12,200,Anacropora,Anacropora_spinosa,PRESENT,A1,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,70,130,0.35,1.02,30-Apr-17,Carrie,Disecting,no,68,2,0.97,0.34,0.99,Carrie,Disecting,yes,66,2,4,0.97,0.96,0.94,0.33
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,29,2,1,8,9,10,Anacropora,Anacropora_spinosa,PRESENT,A1,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,2,8,0.2,0.029,30-Apr-17,Carrie,Disecting,no,2,0,1,0.2,0.029,Carrie,Disecting,yes,2,0,0,1,0.03,1,0.2
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,31,2,3,8,10,50,Anacropora,Anacropora_spinosa,PRESENT,A1,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,14,36,0.28,0.204,30-Apr-17,Carrie,Disecting,no,14,0,1,0.28,0.204,Carrie,Disecting,yes,13,1,1,0.93,0.19,0.93,0.26
13-Apr-17,18-Apr-17,5-7pm,TANK1,3,32,2,4,8,11,100,Anacropora,Anacropora_spinosa,PRESENT,A1,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,45,55,0.45,0.655,30-Apr-17,Carrie,Disecting,no,44,1,0.98,0.44,0.641,Carrie,Disecting,yes,40,4,5,0.91,0.58,0.89,0.4
